장원인삼참외,http://www.bestmelon.com/,,경상북도,성주군,곡류,참외
성주참외전문쇼핑몰,http://www.melonade.co.kr/,,경상북도,성주군,과일류,참외
참외원예농협,http://www.melon.or.kr/,,경상북도,성주군,육류,참외
성주달콤참외,http://www.sweet-melon.kr/,,경상북도,성주군,버섯류,참외
성주노란참외,http://goldmelon.co.kr/,,경상북도,성주군,과채류,참외
가야산녹색체험마을,http://gayasan.invil.org/,,경상북도,성주군,곡류,체험마을
토마토새댁네,http://suyane.kr/,,경상북도,성주군,과일류,토마토
성주자두농원,http://blog.naver.com/dbrud5096,,경상북도,성주군,육류,기타
머쉬룸,http://blog.naver.com/b2be63,,경상북도,성주군,버섯류,기타
성주가나안농원,http://www.ganaanfarm.co.kr/index.php,,경상북도,성주군,과채류,기타
청정금수참별미,http://kayasan.kr/,,경상북도,성주군,곡류,기타
갈지농원,http://sungduck5885.farmmoa.com/,,경상북도,경산시,과일류,기타
경산임당대추,http://daechui.puruemi.com/,,경상북도,경산시,육류,대추
인농농장,http://innongpark.co.kr/,,경상북도,경산시,버섯류,오리고기
경산포도골,http://www.podogol.com/,,경상북도,경산시,과채류,포도
가나골농장,http://www.ganagol.kr/,,경상북도,경산시,곡류,마늘
한장군쌀,http://www.hanjanggun.co.kr/,,경상북도,경산시,과일류,쌀
농원한반도,http://www.koreapeach.co.kr/,,경상북도,경산시,육류,복숭아
새미네대추농장,http://www.saemine.com/,,경상북도,경산시,버섯류,대추
운성농원,http://www.aay.kr/,,경상북도,경산시,과채류,고구마
바람햇살농장,http://www.brhsfarm.com/,,경상북도,경산시,곡류,대추
한마음농장,http://www.hanmaumfarm.kr/,,경상북도,경산시,과일류,복숭아
보인종묘원,http://www.boinseed.com/,,경상북도,경산시,육류,사과
하늘땅,http://www.skylandzone.co.kr/,,경상북도,경산시,버섯류,포도
윤가네,http://www.yoonfamily.co.kr/,,경상북도,경산시,과일류,대추
도리기농원,http://www.pagi.co.kr/,,경상북도,경산시,육류,콩
경산키토산연근,http://www.iaram.kr/,,경상북도,경산시,버섯류,연근
산에농원,http://sanae.puruemi.com/,,경상북도,경산시,과채류,자두
동부묘목농원,http://www.dongbutree.com/,,경상북도,경산시,곡류,묘목
두메농장 ,http://www.doome21.com/,,경상북도,군위군,과일류,쌀
스마일흙집사과원 ,http://www.smileapple.kr/,,경상북도,군위군,버섯류,사과
석우사슴농장 ,http://www.sukwoo.com/,,경상북도,군위군,과채류,사슴고기
골목포도원 ,http://golmokpodo.com/,,경상북도,군위군,곡류,포도
가나안포도원 ,http://ganaan.farmmoa.com/,,경상북도,군위군,과일류,포도
윤팔선군위콩잎김치 ,http://www.palsun.co.kr/,,경상북도,군위군,육류,김치
문경곶감농장,http://www.080114.net/0545522687 ,고성모,경상북도,문경시,곡류,곶감
오미원,http://5mi1.com,박미경,경상북도,문경시,버섯류,오미자
학사농원,http://haksafarm.kr ,조상호,경상북도,문경시,과채류,사과
해가빛농원,http://www.orgafarm.net ,임성무,경상북도,문경시,곡류,사과
황씨네전통식품,http://www.onggozip.com ,황강하,경상북도,문경시,과일류,장류
효원농장,http://www.hyowonfarm.com ,황윤열,경상북도,문경시,육류,오미자
성호장생도라지,http://www.doraji.co.kr/,,경상남도,진주시,곡류,도라지
고추팜,http://www.gochufarm.com/,,경상남도,진주시,육류,고추
싱싱단감농장,http://dangam.co.kr/,,경상남도,진주시,버섯류,감
농부팜,http://www.nongbufarm.com/,,경상남도,진주시,과일류,파프리카
진주마,http://www.jinjuma.co.kr/,,경상남도,진주시,버섯류,마
배산골농원,http://www.baesangol.co.kr/,,경상남도,진주시,과채류,표고버섯
와니예니농장,http://www.wanibae.co.kr/,,경상남도,진주시,과일류,배
허브쌀,http://www.hubssal.co.kr/,,경상남도,진주시,육류,쌀
대진농장,http://www.dejinfarm.co.kr/,,경상남도,진주시,과채류,감
신일농장,http://www.shinilfarm.com/,,경상남도,진주시,곡류,매실
초은애단감농원,http://www.choeunae.com/,,경상남도,진주시,과일류,감
